sample_id,dataset,baseline_relevance,baseline_coherence,baseline_naturalness,baseline_avg,finetuned_relevance,finetuned_coherence,finetuned_naturalness,finetuned_avg,zeroshot_relevance,zeroshot_coherence,zeroshot_naturalness,zeroshot_avg,fewshot_relevance,fewshot_coherence,fewshot_naturalness,fewshot_avg,winner,timestamp
sample_353,GEM/schema_guided_dialog,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T17:31:44.532Z
sample_77,GEM/schema_guided_dialog,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T17:32:19.019Z
sample_274,allenai/WildChat-1M,5,5,5,5.00,1,3,3,2.33,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T17:33:04.519Z
sample_348,allenai/WildChat-1M,5,5,5,5.00,3,5,3,3.67,4,5,5,4.67,4,5,5,4.67,baseline,2026-02-04T17:34:03.494Z
sample_248,allenai/WildChat-1M,4,4,3,3.67,5,5,4,4.67,4,5,3,4.00,4,4,3,3.67,finetuned,2026-02-04T17:35:18.481Z
sample_213,GEM/schema_guided_dialog,5,5,5,5.00,5,5,4,4.67,5,5,4,4.67,5,5,4,4.67,baseline,2026-02-04T17:36:15.006Z
sample_295,GEM/schema_guided_dialog,4,4,5,4.33,5,5,5,5.00,4,3,5,4.00,5,5,5,5.00,tie,2026-02-04T17:36:47.385Z
sample_22,allenai/WildChat-1M,5,4,4,4.33,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T17:37:23.573Z
sample_67,GEM/schema_guided_dialog,4,4,4,4.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T17:38:09.409Z
sample_336,allenai/WildChat-1M,5,5,5,5.00,4,4,5,4.33,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T17:39:03.075Z
sample_45,GEM/schema_guided_dialog,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T17:39:39.979Z
sample_398,allenai/WildChat-1M,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T17:40:27.742Z
sample_299,GEM/schema_guided_dialog,4,5,5,4.67,4,5,5,4.67,4,5,5,4.67,5,5,5,5.00,prompt_fewshot,2026-02-04T17:40:55.846Z
sample_173,GEM/schema_guided_dialog,1,1,2,1.33,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T17:41:27.642Z
sample_138,allenai/WildChat-1M,5,5,5,5.00,4,4,4,4.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T17:42:13.450Z
sample_365,GEM/schema_guided_dialog,4,5,4,4.33,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T17:42:38.041Z
sample_26,allenai/WildChat-1M,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T17:43:13.591Z
sample_342,allenai/WildChat-1M,5,5,5,5.00,4,5,5,4.67,4,5,5,4.67,4,4,5,4.33,baseline,2026-02-04T17:44:21.458Z
