dialogue_id,dataset,conversation_hash,seed_pairs,step_index,history_pairs_before_step,predicted_user,gold_user,gold_assistant,generated_assistant,user_bertscore_f1,user_bleurt,assistant_bertscore_f1,assistant_bleurt
1_00000,GEM/schema_guided_dialog,7fa2a9b3d811,1,0,1,"Yes, I would like the place to be in the San Francisco area.",I would like for it to be in San Jose.,"Is there a specific cuisine type you enjoy, such as Mexican, Italian or something else?","Great! Here are some popular dining options in the San Francisco area:

1. The French Laundry - A three-Michelin-star restaurant known for its exceptional French cuisine.
2. The Capital Grille - A popular steakhouse with a wide variety of dishes.
3. The Grindhouse - A casual diner serving classic American comfort food.
4. The Cracker Barrel - A classic Southern-style restaurant with a wide selection of barbecue.",0.946098268032074,0.6799669861793518,0.8143490552902222,0.39392703771591187
1_00000,GEM/schema_guided_dialog,7fa2a9b3d811,1,1,2,What are the prices of the food and drinks at these restaurants?,I usually like eating the American type of food.,I see that at 71 Saint Peter there is a good restaurant which is in San Jose.,"The prices at these restaurants can vary depending on the specific dishes and menu items you choose. Here are some general price ranges for each of these restaurants:

1) The French Lau condire: $200-$300 per person for a tasting menu.
2) The Capital Grill: $15-$25 per burger, $10-$15 per entree.
3) The Grind House: $10-$20 per burger or sandwich, $5-$10 per",0.8788014650344849,0.3773393929004669,0.8219232559204102,0.23273204267024994
1_00000,GEM/schema_guided_dialog,7fa2a9b3d811,1,2,3,Please find out the prices for the food and the drinks at these places.,Can you give me the address of this restaurant.,If you want to go to this restaurant you can find it at 71 North San Pedro Street.,"I'm sorry for the confusion, but the prices I provided earlier are estimates and can vary depending upon the specific menu items and any additional items you choose to order.

To get the most accurate prices, I recommend checking the restaurants' websites or calling them directly. Would you like me to help you find the contact information for these restaurants? Or do you want me to suggest some other dining options in San Francisco?",0.879504919052124,0.49560970067977905,0.8443629145622253,0.4196624159812927
1_00001,GEM/schema_guided_dialog,f5ec69bc8b50,1,0,1,I am looking for food in San Francisco,Some Punjabi kind of foods in milpitas,"I found a good restaurant in Milpitas, The restaurant name is Anjappar Chettinad Restaurant","Great! San Francisco has a wide variety of restaurants. Here are a few popular options:

1. **Cava** - A popular Italian restaurant with a great atmosphere.
2. **Carmine's** - A classic Italian restaurant with great pasta dishes.
3. **The Crab Shack** - A seafood restaurant with a fun atmosphere.
4. **The Pink Door** - A cozy spot for Italian cuisine.
5. **Café Grumpy",0.8812292218208313,0.3560020327568054,0.8159292936325073,0.15604181587696075
1_00001,GEM/schema_guided_dialog,f5ec69bc8b50,1,1,2,What is the price range?,"Ok, What is the address? How pricey are they?","Price range is moderate, The address is Milpitas Square","The price range for these restaurants in San Francisco is generally moderate to high. Here are some approximate price ranges:

1 - **Cava:** $15 - $30 per person
2 - **Carmin's:** $15 per person
3 - **The Crackers:** $15-$25 per person
4 - **The Pink Door:** $15-25 per person

Please note that prices can vary depending on the specific menu and any additional items you",0.8937228322029114,0.5112509727478027,0.815761387348175,0.3896195888519287
1_00001,GEM/schema_guided_dialog,f5ec69bc8b50,1,2,3,Can you suggest something more expensive?,"Ok, Find me another restaurant?","I found another restaurant for you, Aria Dining & Banquets Fine Indian Cuisine Restaurant at Milpitas","Certainly! Here are some more upscale options in San Francisco:

1 **The French Laundry** - A Michelin-starred restaurant known for its exceptional French cuisine.
2 **The Capital Grille** - A high-end steakhouse with a wide selection of dishes.
3 **The Capital Diner** - A retro-style diner with a focus on classic American comfort food.
4 **The Gris Wagon** - A modern, upscale restaurant with a",0.8596503138542175,0.410638689994812,0.8190352320671082,0.11825356632471085
1_00002,GEM/schema_guided_dialog,88742c1c4d42,1,0,1,I am looking for a restaurant in San Francisco that serves sushi.,Find me Ethiopian cuisine in Berkeley.,"Of the 4 Ethiopian restaurants in Berkeley, Addis Restaurant is a good one.","There are several great sushi restaurants in San Francisco. Some popular options include:

1. Sushi Saito - Known for its high-quality sushi and traditional Japanese atmosphere.
2. Sushi Katsu - Offers a modern twist on classic sushi with a wide variety of options.
3. Sushi Bar - A casual spot with a wide selection of sushi and other Japanese dishes.
4. Sushi Daiwa - A popular spot for sushi with an",0.8874704837799072,0.3840552866458893,0.8561834692955017,0.2085587978363037
1_00002,GEM/schema_guided_dialog,88742c1c4d42,1,1,2,Please recommend a restaurant that serves American cuisine.,Do they have live music?,I'm sorry. They do not have live music.,"If you're looking for a good American restaurant in San Francisc, here are a few recommendations:

1) **The Original Pancake House** - Known for their delicious pancakes and breakfast favorites.
2) **The Cafe Grumpy** - Offers classic American comfort food with a fun and quirky atmosphere.
3) **The Butcher's Daughter** - A farm-to-table American restaurant with a cozy, rustic vibe",0.8692379593849182,0.34564512968063354,0.8130702376365662,0.29201215505599976
1_00002,GEM/schema_guided_dialog,88742c1c4d42,1,2,3,Can you suggest a restaurant that is not too expensive?,That's okay. I'd like to reserve a table for the 4th.,At what time will you be arriving at the restaurant?,"Certainly! Here are a few budget-friendly American restaurants in San Francico:

1.) **The Butchery** - A casual, no-frills spot with a focus on fresh, locally sourced ingredients. Their menu is straightforward and affordable.
2.) **The Pancake Shack** - Known as ""America's favorite diner,"" they offer classic American comfort foods like burgers, fries, and milkshakes at reasonable prices.
3.) **",0.8356680274009705,0.3305407166481018,0.8116809725761414,0.34433817863464355
1_00003,GEM/schema_guided_dialog,a87f6299da91,1,0,1,"In the San Francisco area, I want to eat some food.",Some Freshwater fish kind of food in Palo Alto would be perfect.,I found 4 restaurants. Odori Japanese Cuisine is a nice restaurant in Palo Alto.,"There are many great restaurants in the San Francisco Bay Area. Here are a few options:

1. The Grindhouse - a casual, family-friendly diner serving burgers, fries, and milkshakes.
2. The Butcher's Daughter - a farm-to-table restaurant offering seasonal dishes.
3. The Crab Shack - a seafood restaurant with a casual atmosphere.
4. The Original Pizza Company - a popular pizza joint with a wide selection",0.8713564276695251,0.42282021045684814,0.8578498959541321,0.3721553087234497
1_00003,GEM/schema_guided_dialog,a87f6299da91,1,1,2,What is the price range?,Could you suggest any other restaurant?,P.f. Chang's is another nice restaurant in Palo Alto.,"The price range for these restaurants varies, but here are some general estimates:

1, The GrindHouse: $10-$15 per person
2, The Butcher’s Daughter: $15-$25 per person
3, The CrabShack: $10 per person
4, The Original Pizzeria: $10-20 per person

Keep in mind that prices may vary depending on the location, time of day, and any additional items you",0.8549724221229553,0.39090296626091003,0.8296549916267395,0.2689972519874573
1_00003,GEM/schema_guided_dialog,a87f6299da91,1,2,3,Can you recommend a restaurant in the San Jose area?,"Yes, that works for me.",Would you like to reserve a table here?,"Certainly! Here are a couple of highly-rated restaurants in the Santa Clara County (San Jose) area:

1) The Crab Shop - A casual seafood restaurant with fresh, locally sourced ingredients. Prices range from $10 to $20 per person.
2) The Grind - A casual, family-owned diner serving classic American comfort food. Prices are generally between $10 and $15 per person.

If you're looking for something more upscale",0.8394045233726501,0.37545347213745117,0.8195545077323914,0.41069692373275757
1_00004,GEM/schema_guided_dialog,a4ccd76e75de,1,0,1,Can you find a place that serves seafood?,Lobster sounds great. Please search in San Mateo.,I have found 9 restaurants. Andes Cafe San Mateo is a great restaurant in San Mateo.,"Sure! I can help you find a seafood restaurant. Could you tell me your location or the area you're in? That way, I can suggest some places nearby.",0.8490917682647705,0.41348350048065186,0.8634182214736938,0.420856773853302
1_00004,GEM/schema_guided_dialog,a4ccd76e75de,1,1,2,"Sure, I'm in the Bronx.",What's their phone number?,Their number is 650-581-1305.,"Great! Here are a few seafood restaurants in the Bronxe:

1. **The Lobster Pot** - This restaurant offers a variety of seafood dishes, including lobster, shrimp, and crab.
2. **The Fish Market** - Known for its fresh seafood, this place has a great selection of seafood options.
3. **The Seafood Grill** - A popular spot for seafood lovers, offering a wide range of dishes.
4. **The Crab",0.8440656065940857,0.2852335274219513,0.7972171902656555,0.3247050642967224
