sample_id,dataset,base__relevance,base__coherence,base__naturalness,base__avg,fine_tuned__relevance,fine_tuned__coherence,fine_tuned__naturalness,fine_tuned__avg,prompt_few_shot__relevance,prompt_few_shot__coherence,prompt_few_shot__naturalness,prompt_few_shot__avg,prompt_zero_shot__relevance,prompt_zero_shot__coherence,prompt_zero_shot__naturalness,prompt_zero_shot__avg,winner,timestamp
sample_353,GEM/schema_guided_dialog,3,2,5,3.33,5,5,5,5.0,1,1,3,1.67,5,5,5,5.0,tie,2026-04-13T08:12:21.225Z
sample_77,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,tie,2026-04-13T08:15:01.831Z
sample_274,allenai/WildChat-1M,4,4,4,4.0,3,3,3,3.0,1,1,1,1.0,3,3,3,3.0,base,2026-04-13T08:16:11.183Z
sample_348,allenai/WildChat-1M,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T08:16:32.491Z
sample_248,allenai/WildChat-1M,3,3,3,3.00,3,3,3,3.00,3,3,3,3.00,3,3,3,3.00,tie,2026-04-13T18:10:36.057Z
sample_213,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,tie,2026-04-13T08:17:51.625Z
sample_295,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,1,1,1,1.0,1,1,1,1.0,tie,2026-04-13T09:03:14.307Z
sample_22,allenai/WildChat-1M,5,5,5,5.0,5,5,5,5.0,1,1,1,1.0,1,1,2,1.33,tie,2026-04-13T09:03:59.218Z
sample_67,GEM/schema_guided_dialog,4,4,3,3.67,5,5,5,5.0,1,1,3,1.67,5,5,5,5.0,tie,2026-04-13T09:06:19.683Z
sample_336,allenai/WildChat-1M,4,4,3,3.67,5,5,5,5.0,4,4,2,3.33,4,4,5,4.33,fine_tuned,2026-04-13T09:07:02.069Z
sample_45,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,1,1,1,1.0,5,5,4,4.67,tie,2026-04-13T09:07:30.375Z
sample_398,allenai/WildChat-1M,5,5,5,5.0,5,5,5,5.0,2,1,1,1.33,3,3,3,3.0,tie,2026-04-13T09:08:08.061Z
sample_299,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,tie,2026-04-13T09:08:34.799Z
sample_173,GEM/schema_guided_dialog,4,3,3,3.33,5,5,5,5.0,1,1,1,1.0,5,5,5,5.0,tie,2026-04-13T09:09:04.784Z
sample_138,allenai/WildChat-1M,4,5,5,4.67,4,4,3,3.67,4,4,2,3.33,4,4,5,4.33,base,2026-04-13T09:09:44.297Z
sample_365,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,1,1,2,1.33,5,5,5,5.0,tie,2026-04-13T09:09:58.984Z
sample_26,allenai/WildChat-1M,4,2,2,2.67,5,5,5,5.0,1,1,1,1.0,2,1,1,1.33,fine_tuned,2026-04-13T09:10:29.820Z
sample_342,allenai/WildChat-1M,5,5,3,4.33,5,5,5,5.0,2,1,1,1.33,4,3,3,3.33,fine_tuned,2026-04-13T09:11:09.828Z
sample_191,GEM/schema_guided_dialog,3,2,2,2.33,5,4,5,4.67,3,2,2,2.33,5,4,5,4.67,tie,2026-04-13T09:12:07.427Z
sample_301,GEM/schema_guided_dialog,5,5,5,5.0,4,3,3,3.33,4,2,2,2.67,5,5,5,5.0,tie,2026-04-13T09:12:38.329Z
sample_363,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,4,2,1,2.33,2,2,2,2.0,tie,2026-04-13T09:13:04.276Z
sample_84,allenai/WildChat-1M,5,5,5,5.0,5,5,5,5.0,1,1,1,1.0,5,4,4,4.33,tie,2026-04-13T09:13:33.570Z
sample_160,allenai/WildChat-1M,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T09:13:38.130Z
