dialogue_id,dataset,conversation_hash,seed_pairs,step_index,history_pairs_before_step,predicted_user,gold_user,gold_assistant,generated_assistant,user_bertscore_f1,user_bleurt,assistant_bertscore_f1,assistant_bleurt
1_00000,GEM/schema_guided_dialog,7fa2a9b3d811,1,0,1,I would like to eat at Pleasanton.,I would like for it to be in San Jose.,"Is there a specific cuisine type you enjoy, such as Mexican, Italian or something else?",,0.9146414995193481,0.41317129135131836,,
1_00000,GEM/schema_guided_dialog,7fa2a9b3d811,1,1,2,I would like some Izakaya type of food.,I usually like eating the American type of food.,I see that at 71 Saint Peter there is a good restaurant which is in San Jose.,,0.910673201084137,0.4249228835105896,,
1_00000,GEM/schema_guided_dialog,7fa2a9b3d811,1,2,3,That is good for me.,Can you give me the address of this restaurant.,If you want to go to this restaurant you can find it at 71 North San Pedro Street.,,0.85832279920578,0.3981233835220337,,
1_00001,GEM/schema_guided_dialog,f5ec69bc8b50,1,0,1,I want some Izakaya food in San Francisco,Some Punjabi kind of foods in milpitas,"I found a good restaurant in Milpitas, The restaurant name is Anjappar Chettinad Restaurant",,0.8853021860122681,0.3535428047180176,,
1_00001,GEM/schema_guided_dialog,f5ec69bc8b50,1,1,2,What is the address of the restaurant?,"Ok, What is the address? How pricey are they?","Price range is moderate, The address is Milpitas Square",,0.908619225025177,0.5110445022583008,,
1_00001,GEM/schema_guided_dialog,f5ec69bc8b50,1,2,3,"Ok, that sounds good, please make me a reservation for 1 person","Ok, Find me another restaurant?","I found another restaurant for you, Aria Dining & Banquets Fine Indian Cuisine Restaurant at Milpitas",,0.8709928393363953,0.4672515392303467,,
1_00002,GEM/schema_guided_dialog,88742c1c4d42,1,0,1,I am looking for a restaurant in San Francisco and I am looking for Izakaya kind of food.,Find me Ethiopian cuisine in Berkeley.,"Of the 4 Ethiopian restaurants in Berkeley, Addis Restaurant is a good one.",,0.8789693117141724,0.47976189851760864,,
1_00002,GEM/schema_guided_dialog,88742c1c4d42,1,1,2,Can you suggest any other restaurant?,Do they have live music?,I'm sorry. They do not have live music.,,0.8785853385925293,0.397452712059021,,
1_00002,GEM/schema_guided_dialog,88742c1c4d42,1,2,3,That's fine.,That's okay. I'd like to reserve a table for the 4th.,At what time will you be arriving at the restaurant?,,0.9010885953903198,0.39523088932037354,,
1_00003,GEM/schema_guided_dialog,a87f6299da91,1,0,1,I'm looking in San Francisco. I'm in the mood for some Izakaya food.,Some Freshwater fish kind of food in Palo Alto would be perfect.,I found 4 restaurants. Odori Japanese Cuisine is a nice restaurant in Palo Alto.,,0.8703146576881409,0.44635337591171265,,
1_00003,GEM/schema_guided_dialog,a87f6299da91,1,1,2,What's the address and contact number?,Could you suggest any other restaurant?,P.f. Chang's is another nice restaurant in Palo Alto.,,0.8392518162727356,0.40596914291381836,,
1_00003,GEM/schema_guided_dialog,a87f6299da91,1,2,3,That's good. I'd like to make a reservation.,"Yes, that works for me.",Would you like to reserve a table here?,,0.8553875684738159,0.4649621844291687,,
1_00004,GEM/schema_guided_dialog,a4ccd76e75de,1,0,1,I'd like some Izakaya food in San Mateo.,Lobster sounds great. Please search in San Mateo.,I have found 9 restaurants. Andes Cafe San Mateo is a great restaurant in San Mateo.,,0.8855396509170532,0.38622403144836426,,
1_00004,GEM/schema_guided_dialog,a4ccd76e75de,1,1,2,What is their address?,What's their phone number?,Their number is 650-581-1305.,,0.9532080888748169,0.6195101141929626,,
1_00004,GEM/schema_guided_dialog,a4ccd76e75de,1,2,3,That works for me.,Any other suggestions?,Fuji Sukiyaki is another great choice in San Mateo.,,0.8347761034965515,0.4334959387779236,,
1_00005,GEM/schema_guided_dialog,83a2fbb29206,1,0,1,I'd like to eat in San Mateo.,I want to eat in San Bruno,"I have 3 restaurants, Cabalen is a nice one in San Bruno.",,0.9496868848800659,0.5353532433509827,,
1_00005,GEM/schema_guided_dialog,83a2fbb29206,1,1,2,What's the address?,Any other suggestions?,What about Isla Restaurant in San Bruno?,,0.8530754446983337,0.3945358395576477,,
1_00005,GEM/schema_guided_dialog,83a2fbb29206,1,2,3,That works for me.,How cheap is it and how much does it cost?,It is moderate pricing and they are at 448 San Mateo Avenue,,0.8512775301933289,0.3907397985458374,,
1_00006,GEM/schema_guided_dialog,91e1eddf9993,1,0,1,"I am looking for a place that serves alcohol, preferably in SFO.",I would like Freshwater fish.,Do you have a city?,,0.8770709037780762,0.2661625146865845,,
1_00006,GEM/schema_guided_dialog,91e1eddf9993,1,1,2,I want to eat in San Mateo.,The city is San Jose.,I have one in San Jose called Ariake.,,0.8929394483566284,0.3590838313102722,,
1_00006,GEM/schema_guided_dialog,91e1eddf9993,1,2,3,That sounds good.,Yes that is fine.,Would you like a reservation?,,0.8880947232246399,0.8038501143455505,,
1_00007,GEM/schema_guided_dialog,83a4d5fc4cfc,1,0,1,I would like to search in San Mateo. I am looking for Izakaya type of food.,My family and I are in San Jose and the perfect place would have pizza and pasta. We don't have a price preference.,San Jose has a restaurant called Al Castello Ristorante that is nice.,,0.882472038269043,0.3773012161254883,,
1_00007,GEM/schema_guided_dialog,83a4d5fc4cfc,1,1,2,Can you tell me if they have live music?,Is there any other restaurant that you can suggest?,There is also a nice restaurant called Angelo's Italian Restaurant in San Jose.,,0.8662989735603333,0.3933789134025574,,
1_00007,GEM/schema_guided_dialog,83a4d5fc4cfc,1,2,3,That sounds good.,Can I please have the address and contact number?,408-227-5502 is their phone and it is located at 436 Blossom Hill Road.,,0.8310877084732056,0.32793760299682617,,
1_00008,GEM/schema_guided_dialog,92d5ff307c41,1,0,1,I'd like to find something to eat in Antioch.,I would like some Italian food.,Found 5 restaurants for you out of which De La Torre's Trattoria seems a great from Pleasanton.,,0.9222626686096191,0.4286709427833557,,
1_00008,GEM/schema_guided_dialog,92d5ff307c41,1,1,2,Can you suggest another restaurant?,Can you provide the address and do they have live music?,"No, they do not have live music and its address is 6025 West Las Positas Boulevard.",,0.8923777937889099,0.44718337059020996,,
1_00008,GEM/schema_guided_dialog,92d5ff307c41,1,2,3,Can you suggest an alternative restaurant?,Any other recommendation?,Forno Vecchio also seems nice and its located n Pleasanton as well.,,0.8795827031135559,0.663390040397644,,
1_00009,GEM/schema_guided_dialog,2372cff61e2a,1,0,1,I want to go to San Fran and I want to eat at a burger place,I want some breakfast in Fairfield,I recommend Mimi's cafe in fairfield,,0.8788747787475586,0.3646501302719116,,
1_00009,GEM/schema_guided_dialog,2372cff61e2a,1,1,2,That's not close by,Do they have live music with liquor,They do not have live music but they do have alcohol,,0.8450095057487488,0.16923651099205017,,
1_00009,GEM/schema_guided_dialog,2372cff61e2a,1,2,3,That sounds good,ok that works,Do you want me to reserve a table for you,,0.8740618824958801,0.6726284623146057,,
1_00010,GEM/schema_guided_dialog,f5db0d912619,1,0,1,Can you give me their address and contact number?,Is there a band playing there?,"No, unfortunately, they don't offer live music.",,0.852241575717926,0.3701080083847046,,
1_00010,GEM/schema_guided_dialog,f5db0d912619,1,1,2,"That's okay, I'm fine with that.",That's okay. It will work anyway.,Do you wish to make a reservation?,,0.9188872575759888,0.6992194652557373,,
1_00010,GEM/schema_guided_dialog,f5db0d912619,1,2,3,"Yes, please make a reservation for me at Mimi's.","Yes, I'll need to make a reservation for a table for 2.",What time will you be visiting?,,0.9064806699752808,0.575417697429657,,
1_00011,GEM/schema_guided_dialog,1455092970ce,1,0,1,I want to eat in San Fran.,"Cupertino, please.","What kind of food would you like? American, Indian, or something else?",,0.8760570883750916,0.3709586262702942,,
1_00011,GEM/schema_guided_dialog,1455092970ce,1,1,2,I'm in the mood for some Freshwater fish.,Malaysian sounds good right now.,I've found 2 Malaysian restaurants in Cupertino. Merlion Restaurant & Bar is one.,,0.8716520071029663,0.25793054699897766,,
1_00011,GEM/schema_guided_dialog,1455092970ce,1,2,3,What's the price range?,What's the other one?,Rasa Sayang is also is Cupertino.,,0.912548840045929,0.3998815417289734,,
1_00012,GEM/schema_guided_dialog,e60d669eeef9,1,0,1,"I would like to find a place in San Mateo that serves alcohol, preferably in the moderate price range.",I would prefer a restaurant which serves up Cambodian food in SF.,I have managed to find a nice restaurant called Anh Hong which is located in San Francisco.,,0.910050630569458,0.4564571976661682,,
1_00012,GEM/schema_guided_dialog,e60d669eeef9,1,1,2,What is the address and do they have live music?,Are there any alternative restaurants?,"Yes there is, Aux Delices is also a nice restaurant located in San Francisco.",,0.8736456036567688,0.34171682596206665,,
1_00012,GEM/schema_guided_dialog,e60d669eeef9,1,2,3,I would like more options.,"Sure, that sounds great!",Would you like me to make a reservation?,,0.8306731581687927,0.3942296504974365,,
1_00013,GEM/schema_guided_dialog,48c6fbdc5699,1,0,1,I want to eat some Punjabi food in SFO,Asian kind of food will be good for me and please search it in Fremont City.,"Found 3 results, Asian pearl Seafood Restaurant is the best one in Fremont city, hope you like it.",,0.8591176867485046,0.42470836639404297,,
1_00013,GEM/schema_guided_dialog,48c6fbdc5699,1,1,2,Can you suggest me any other restaurant?,"Yes, I like the same.",Shall I make a reservation at this restaurant?,,0.8487432599067688,0.3978061079978943,,
1_00013,GEM/schema_guided_dialog,48c6fbdc5699,1,2,3,"Yes, please make a reservation.","Yes, make it at half past 1 in the afternoon that will be the perfect time to eat.",Please confirm to book a table for 2 persons in Asian Pearl Seafood REstaurant in Fremont at 1:30 pm on today.,,0.8610579371452332,0.46988487243652344,,
1_00014,GEM/schema_guided_dialog,5df8285683a8,1,0,1,I would like a restaurant that serves alcohol,Barbecue is the best.,I have 2 options. Cafe Eugene in Albany is a good choice.,,0.8754400014877319,0.2530710697174072,,
1_00014,GEM/schema_guided_dialog,5df8285683a8,1,1,2,Do they have live music?,What is the other option?,Juanita & Maude in Albany is great.,,0.8855183124542236,0.31215333938598633,,
1_00014,GEM/schema_guided_dialog,5df8285683a8,1,2,3,"Yes, that works for me.",Yes that sounds good.,Would you like a table?,,0.9085690379142761,0.633808970451355,,
1_00015,GEM/schema_guided_dialog,771c048b4713,1,0,1,I'd like some take out in San Fran. Something to go would be great.,Search San Francisco for Asian Fusion food,"Sure, I found 8 Immortals Restaurant in San Francisco",,0.860407292842865,0.3101873993873596,,
1_00015,GEM/schema_guided_dialog,771c048b4713,1,1,2,That sounds good.,Is there live music?,Unfortunately no.,,0.8513597249984741,0.28422755002975464,,
1_00015,GEM/schema_guided_dialog,771c048b4713,1,2,3,Can you try again?,Do they serve alcohol? And what's their phone number?,No alcohol. The phone number is 415-731-5515,,0.8456615805625916,0.26724010705947876,,
1_00016,GEM/schema_guided_dialog,67dc87e4c237,1,0,1,"I want something in San Francisco, and I'm feeling a craving for Sushi.","Oh, I'm in Oakland. Please find an American restaurant.",I'd recommend Chop Bar in Oakland.,,0.889894425868988,0.3643273413181305,,
1_00016,GEM/schema_guided_dialog,67dc87e4c237,1,1,2,What's the address and contact number?,Are their prices extravagant? How can I contact them.,"No, their prices are moderate. Their phone number is 510-834-2467.",,0.8602294325828552,0.4317627549171448,,
1_00016,GEM/schema_guided_dialog,67dc87e4c237,1,2,3,That works for me.,"Okay, that sounds good. Can you reserve a table for me?",What time would you like it?,,0.8616129159927368,0.4902387261390686,,
1_00017,GEM/schema_guided_dialog,e2f5eae1a586,1,0,1,I'd like to eat in San Francisco.,In Oakland.,"What type of cuisine? For example, Chinese, American, or something else?",,0.8989291191101074,0.3972589373588562,,
1_00017,GEM/schema_guided_dialog,e2f5eae1a586,1,1,2,I'd like some kind of Izakaya food.,I want pizza and pasta.,I found 8 places. A16 is a nice restaurant in Oakland.,,0.8942230343818665,0.3900652527809143,,
1_00017,GEM/schema_guided_dialog,e2f5eae1a586,1,2,3,What's the price range?,Do they have liquor?,"Yes, they do.",,0.8856950402259827,0.3686264753341675,,
1_00018,GEM/schema_guided_dialog,2a9b33a4d1a7,1,0,1,I'm looking in San Fran for some Izakaya food.,Asian Fusion in Concord.,Ozora Sushi is a restaurant in Concord.,,0.8630648851394653,0.27478885650634766,,
1_00018,GEM/schema_guided_dialog,2a9b33a4d1a7,1,1,2,What is the price range?,"Yes, that is good.",Would you like to reserve a table?,,0.8489260077476501,0.36674925684928894,,
1_00018,GEM/schema_guided_dialog,2a9b33a4d1a7,1,2,3,"Yes, I would like to make a reservation.","Yes, any date works.",What time would you like?,,0.8631665110588074,0.5235135555267334,,
1_00019,GEM/schema_guided_dialog,c59cff148ae1,1,0,1,What's the address?,Is it an inexpensive restaurant?,It is a moderate priced place.,,0.8875713348388672,0.296230673789978,,
1_00019,GEM/schema_guided_dialog,c59cff148ae1,1,1,2,That will work.,What's their phone number?,It is 707-585-9069.,,0.8497024774551392,0.2390386164188385,,
1_00019,GEM/schema_guided_dialog,c59cff148ae1,1,2,3,That's great.,Are there any other restaurants? Something like Ramen would be good. I want something that is not very costly.,1 restaurant named Kyoto fits that description. It's in Rohnert Park as well.,,0.8559925556182861,0.3996606171131134,,
1_00020,GEM/schema_guided_dialog,77045dc08cbc,1,0,1,I'd like a place to go in San Mateo.,I would like something that I can pick-up in San Fran at any price range.,There is a restaurant called Golden Gate Indian Cuisine & Pizza that is located in San Francisco.,,0.9191669225692749,0.45358365774154663,,
1_00020,GEM/schema_guided_dialog,77045dc08cbc,1,1,2,What is the address of the restaurant?,Do they have music or entertainment? Can I have their phone number?,"Sorry, they do not have live music. Their phone number is 415-564-5514.",,0.8729262351989746,0.3679555654525757,,
1_00020,GEM/schema_guided_dialog,77045dc08cbc,1,2,3,That works for me.,I am on a budget so I would like something that is inexpensive but serves alcohol. Can you suggest another restaurant with these qualities?,I was able to locate 1 other nice restaurant called Hunan Empire Restaurant located in San Francisco.,,0.8534677624702454,0.3082655072212219,,
1_00021,GEM/schema_guided_dialog,3bff9f0ef685,1,0,1,I want to eat in San Francisco.,I prefer Redwood City.,Do you have a preference regarding the type of food?,,0.916975200176239,0.39965367317199707,,
1_00021,GEM/schema_guided_dialog,3bff9f0ef685,1,1,2,I would prefer Izakaya food.,"I would like Spanish food, economical pricing preferred.","Redwood City has 1 Spanish restaurant, Estampas Peruanas Restaurant.",,0.915141761302948,0.4452807307243347,,
1_00021,GEM/schema_guided_dialog,3bff9f0ef685,1,2,3,What is the address?,That sounds good.,Shall i reserve a table?,,0.8597532510757446,0.31768399477005005,,
1_00022,GEM/schema_guided_dialog,e74116c7da6e,1,0,1,I would like to eat in San Mateo.,I am looking for restaurants located in Millbrae.,"I found 1 result, Ipoh Garden Malaysian Cuisine located in Millbrae.",,0.9077457189559937,0.42012619972229004,,
1_00022,GEM/schema_guided_dialog,e74116c7da6e,1,1,2,Can you find me another restaurant?,"Great, thanks. What is their phone number? Do they serve alcohol?","No, alcohol is not served. Here's their phone number: 650-487-8737",,0.8681946992874146,0.3779166042804718,,
1_00022,GEM/schema_guided_dialog,e74116c7da6e,1,2,3,Can you find another restaurant? I would like to go to a place that serves alcohol.,"Okay, sounds good.",Do you want to make a reservation?,,0.8481988310813904,0.39131277799606323,,
1_00023,GEM/schema_guided_dialog,c215297f5f31,1,0,1,I want to eat in San Mateo.,Please look for a place in Calistoga.,"Is there any particular type of food you want, like Chinese, Mexican, or anything else?",,0.9125233888626099,0.43569034337997437,,
1_00023,GEM/schema_guided_dialog,c215297f5f31,1,1,2,I am in the mood for some Izakaya food.,I'm in the mood for Cambodian food.,There's a nice place called Calistoga Thai Kitchen in Calistoga.,,0.951030969619751,0.629421591758728,,
1_00023,GEM/schema_guided_dialog,c215297f5f31,1,2,3,Do they have live music?,"Do you have any other suggestions? Actually, I think I'd prefer Barbecue.",I've found 1 restaurant that could work. It's Lovina in Calistoga.,,0.8728012442588806,0.3673962652683258,,
1_00024,GEM/schema_guided_dialog,34ed28ef0be8,1,0,1,I want to go to a restaurant that serves Izakaya food.,I want something with Fish but make it an average priced restaurant.,In what city do you want to look for?,,0.8862616419792175,0.4380396008491516,,
1_00024,GEM/schema_guided_dialog,34ed28ef0be8,1,1,2,I want to look in San Francisco.,I want to eat in Burlingame.,There are 2 possible restaurants. One of them is Grand Harbor located in Burlingame.,,0.9404426217079163,0.371431440114975,,
1_00024,GEM/schema_guided_dialog,34ed28ef0be8,1,2,3,Can you suggest another restaurant?,That sounds great. Please make a reservation.,At what time do you want to go?,,0.8507599234580994,0.434104323387146,,
