dialogue_id,dataset,conversation_hash,seed_pairs,step_index,history_pairs_before_step,predicted_user,gold_user,gold_assistant,generated_assistant,user_bertscore_f1,user_bleurt,assistant_bertscore_f1,assistant_bleurt
1_00000,GEM/schema_guided_dialog,7fa2a9b3d811,1,0,1,"Yes, I would like a place in San Francisco.",I would like for it to be in San Jose.,"Is there a specific cuisine type you enjoy, such as Mexican, Italian or something else?",,0.9288145303726196,0.6242704391479492,,
1_00000,GEM/schema_guided_dialog,7fa2a9b3d811,1,1,2,"Ok, I would prefer a place that serves Korean food.",I usually like eating the American type of food.,I see that at 71 Saint Peter there is a good restaurant which is in San Jose.,,0.8980166912078857,0.4711265563964844,,
1_00000,GEM/schema_guided_dialog,7fa2a9b3d811,1,2,3,Do they have live music there?,Can you give me the address of this restaurant.,If you want to go to this restaurant you can find it at 71 North San Pedro Street.,,0.8591477274894714,0.38467514514923096,,
1_00001,GEM/schema_guided_dialog,f5ec69bc8b50,1,0,1,I am looking for food in San Francisco,Some Punjabi kind of foods in milpitas,"I found a good restaurant in Milpitas, The restaurant name is Anjappar Chettinad Restaurant",,0.8812292218208313,0.3560020327568054,,
1_00001,GEM/schema_guided_dialog,f5ec69bc8b50,1,1,2,What is the address of the restaurant?,"Ok, What is the address? How pricey are they?","Price range is moderate, The address is Milpitas Square",,0.908619225025177,0.5110445022583008,,
1_00001,GEM/schema_guided_dialog,f5ec69bc8b50,1,2,3,Thanks a lot,"Ok, Find me another restaurant?","I found another restaurant for you, Aria Dining & Banquets Fine Indian Cuisine Restaurant at Milpitas",,0.8294216394424438,0.1951148360967636,,
1_00002,GEM/schema_guided_dialog,88742c1c4d42,1,0,1,I am looking for a restaurant in San Francisco that serves Mexican food.,Find me Ethiopian cuisine in Berkeley.,"Of the 4 Ethiopian restaurants in Berkeley, Addis Restaurant is a good one.",,0.8957604169845581,0.4152926206588745,,
1_00002,GEM/schema_guided_dialog,88742c1c4d42,1,1,2,That sounds good.,Do they have live music?,I'm sorry. They do not have live music.,,0.8652163743972778,0.2616819441318512,,
1_00002,GEM/schema_guided_dialog,88742c1c4d42,1,2,3,Do they have a good price range?,That's okay. I'd like to reserve a table for the 4th.,At what time will you be arriving at the restaurant?,,0.8567394614219666,0.27045178413391113,,
1_00003,GEM/schema_guided_dialog,a87f6299da91,1,0,1,"In San Francisco, I want something spicy.",Some Freshwater fish kind of food in Palo Alto would be perfect.,I found 4 restaurants. Odori Japanese Cuisine is a nice restaurant in Palo Alto.,,0.8744089007377625,0.3631468415260315,,
1_00003,GEM/schema_guided_dialog,a87f6299da91,1,1,2,What's their address?,Could you suggest any other restaurant?,P.f. Chang's is another nice restaurant in Palo Alto.,,0.854250967502594,0.3949131965637207,,
1_00003,GEM/schema_guided_dialog,a87f6299da91,1,2,3,Do they have live music?,"Yes, that works for me.",Would you like to reserve a table here?,,0.8506130576133728,0.23314890265464783,,
1_00004,GEM/schema_guided_dialog,a4ccd76e75de,1,0,1,"Please make it a little more specific. I'd like to eat at a place called ""The Cafe"" in San Francisco.",Lobster sounds great. Please search in San Mateo.,I have found 9 restaurants. Andes Cafe San Mateo is a great restaurant in San Mateo.,,0.8627920746803284,0.3281187117099762,,
1_00004,GEM/schema_guided_dialog,a4ccd76e75de,1,1,2,What's the address? Do they have live music?,What's their phone number?,Their number is 650-581-1305.,,0.9006097316741943,0.38719040155410767,,
1_00004,GEM/schema_guided_dialog,a4ccd76e75de,1,2,3,That sounds great.,Any other suggestions?,Fuji Sukiyaki is another great choice in San Mateo.,,0.8458192944526672,0.3783407211303711,,
1_00005,GEM/schema_guided_dialog,83a2fbb29206,1,0,1,In the San Francisco area.,I want to eat in San Bruno,"I have 3 restaurants, Cabalen is a nice one in San Bruno.",,0.8818231225013733,0.3207911252975464,,
1_00005,GEM/schema_guided_dialog,83a2fbb29206,1,1,2,What's the price?,Any other suggestions?,What about Isla Restaurant in San Bruno?,,0.8533837199211121,0.42961186170578003,,
1_00005,GEM/schema_guided_dialog,83a2fbb29206,1,2,3,That sounds good.,How cheap is it and how much does it cost?,It is moderate pricing and they are at 448 San Mateo Avenue,,0.8520873785018921,0.3807251453399658,,
1_00006,GEM/schema_guided_dialog,91e1eddf9993,1,0,1,I'm looking for a place to get some food.,I would like Freshwater fish.,Do you have a city?,,0.8879117369651794,0.3519880175590515,,
1_00006,GEM/schema_guided_dialog,91e1eddf9993,1,1,2,In the city of San Francisco.,The city is San Jose.,I have one in San Jose called Ariake.,,0.9135703444480896,0.5372501015663147,,
1_00006,GEM/schema_guided_dialog,91e1eddf9993,1,2,3,Do they serve alcohol?,Yes that is fine.,Would you like a reservation?,,0.8463526368141174,0.30449122190475464,,
1_00007,GEM/schema_guided_dialog,83a4d5fc4cfc,1,0,1,I am looking for a restaurant in San Francisco.,My family and I are in San Jose and the perfect place would have pizza and pasta. We don't have a price preference.,San Jose has a restaurant called Al Castello Ristorante that is nice.,,0.8935812711715698,0.35973232984542847,,
1_00007,GEM/schema_guided_dialog,83a4d5fc4cfc,1,1,2,Yes that works.,Is there any other restaurant that you can suggest?,There is also a nice restaurant called Angelo's Italian Restaurant in San Jose.,,0.8296765685081482,0.4118574857711792,,
1_00007,GEM/schema_guided_dialog,83a4d5fc4cfc,1,2,3,What is the price of the restaurant?,Can I please have the address and contact number?,408-227-5502 is their phone and it is located at 436 Blossom Hill Road.,,0.8388953804969788,0.36421579122543335,,
1_00008,GEM/schema_guided_dialog,92d5ff307c41,1,0,1,I am looking for something cheap and Indian.,I would like some Italian food.,Found 5 restaurants for you out of which De La Torre's Trattoria seems a great from Pleasanton.,,0.9156107902526855,0.4605751633644104,,
1_00008,GEM/schema_guided_dialog,92d5ff307c41,1,1,2,What are the prices and do they have live music?,Can you provide the address and do they have live music?,"No, they do not have live music and its address is 6025 West Las Positas Boulevard.",,0.929347574710846,0.6018907427787781,,
1_00008,GEM/schema_guided_dialog,92d5ff307c41,1,2,3,That sounds good.,Any other recommendation?,Forno Vecchio also seems nice and its located n Pleasanton as well.,,0.8363231420516968,0.3415892720222473,,
1_00009,GEM/schema_guided_dialog,2372cff61e2a,1,0,1,Please recommend a restaurant in San Francisco.,I want some breakfast in Fairfield,I recommend Mimi's cafe in fairfield,,0.8843842148780823,0.3503844738006592,,
1_00009,GEM/schema_guided_dialog,2372cff61e2a,1,1,2,What is the price range?,Do they have live music with liquor,They do not have live music but they do have alcohol,,0.8605280518531799,0.26289546489715576,,
1_00009,GEM/schema_guided_dialog,2372cff61e2a,1,2,3,Do they serve live music?,ok that works,Do you want me to reserve a table for you,,0.8300585746765137,0.1792585551738739,,
1_00010,GEM/schema_guided_dialog,f5db0d912619,1,0,1,Is there any other restaurant?,Is there a band playing there?,"No, unfortunately, they don't offer live music.",,0.9195818901062012,0.4152275323867798,,
1_00010,GEM/schema_guided_dialog,f5db0d912619,1,1,2,That's great! I'll make a reservation.,That's okay. It will work anyway.,Do you wish to make a reservation?,,0.8761035203933716,0.4625856280326843,,
1_00010,GEM/schema_guided_dialog,f5db0d912619,1,2,3,"Yes, please make a reservation for 4 people.","Yes, I'll need to make a reservation for a table for 2.",What time will you be visiting?,,0.9270244836807251,0.7218306660652161,,
1_00011,GEM/schema_guided_dialog,1455092970ce,1,0,1,I'm looking in San Francisco.,"Cupertino, please.","What kind of food would you like? American, Indian, or something else?",,0.8801332116127014,0.42149025201797485,,
1_00011,GEM/schema_guided_dialog,1455092970ce,1,1,2,Indian food would be great.,Malaysian sounds good right now.,I've found 2 Malaysian restaurants in Cupertino. Merlion Restaurant & Bar is one.,,0.880537211894989,0.42767637968063354,,
1_00011,GEM/schema_guided_dialog,1455092970ce,1,2,3,What's their address?,What's the other one?,Rasa Sayang is also is Cupertino.,,0.9078745245933533,0.3926931917667389,,
1_00012,GEM/schema_guided_dialog,e60d669eeef9,1,0,1,I am looking for a place in the San Francisco area that serves Asian food.,I would prefer a restaurant which serves up Cambodian food in SF.,I have managed to find a nice restaurant called Anh Hong which is located in San Francisco.,,0.9300411939620972,0.677402913570404,,
1_00012,GEM/schema_guided_dialog,e60d669eeef9,1,1,2,What is the address and phone number of the restaurant?,Are there any alternative restaurants?,"Yes there is, Aux Delices is also a nice restaurant located in San Francisco.",,0.869340181350708,0.4682942032814026,,
1_00012,GEM/schema_guided_dialog,e60d669eeef9,1,2,3,Is it expensive?,"Sure, that sounds great!",Would you like me to make a reservation?,,0.8403961062431335,0.3324349522590637,,
1_00013,GEM/schema_guided_dialog,48c6fbdc5699,1,0,1,In the San Francisco area I am looking for some places to eat out for sushi.,Asian kind of food will be good for me and please search it in Fremont City.,"Found 3 results, Asian pearl Seafood Restaurant is the best one in Fremont city, hope you like it.",,0.8668171167373657,0.4463059902191162,,
1_00013,GEM/schema_guided_dialog,48c6fbdc5699,1,1,2,"Yes, that is perfect for me.","Yes, I like the same.",Shall I make a reservation at this restaurant?,,0.9163062572479248,0.6382918357849121,,
1_00013,GEM/schema_guided_dialog,48c6fbdc5699,1,2,3,"Sure, please make a reservation for me. I will need 2 people.","Yes, make it at half past 1 in the afternoon that will be the perfect time to eat.",Please confirm to book a table for 2 persons in Asian Pearl Seafood REstaurant in Fremont at 1:30 pm on today.,,0.8636028170585632,0.45114636421203613,,
1_00014,GEM/schema_guided_dialog,5df8285683a8,1,0,1,A restaurant with sushi would be great.,Barbecue is the best.,I have 2 options. Cafe Eugene in Albany is a good choice.,,0.9005889296531677,0.45131850242614746,,
1_00014,GEM/schema_guided_dialog,5df8285683a8,1,1,2,Do they have live music?,What is the other option?,Juanita & Maude in Albany is great.,,0.8855183124542236,0.31215333938598633,,
1_00014,GEM/schema_guided_dialog,5df8285683a8,1,2,3,That sounds good.,Yes that sounds good.,Would you like a table?,,0.9628446102142334,0.8634288907051086,,
1_00015,GEM/schema_guided_dialog,771c048b4713,1,0,1,I want to find some places in San Francisco that serve Asian food.,Search San Francisco for Asian Fusion food,"Sure, I found 8 Immortals Restaurant in San Francisco",,0.9019301533699036,0.5999014973640442,,
1_00015,GEM/schema_guided_dialog,771c048b4713,1,1,2,Is it a good place to eat? What's their price range?,Is there live music?,Unfortunately no.,,0.8802222609519958,0.3790600001811981,,
1_00015,GEM/schema_guided_dialog,771c048b4713,1,2,3,What about another restaurant?,Do they serve alcohol? And what's their phone number?,No alcohol. The phone number is 415-731-5515,,0.8587306141853333,0.3541555404663086,,
1_00016,GEM/schema_guided_dialog,67dc87e4c237,1,0,1,Please make it in San Francisco.,"Oh, I'm in Oakland. Please find an American restaurant.",I'd recommend Chop Bar in Oakland.,,0.8810442686080933,0.32955312728881836,,
1_00016,GEM/schema_guided_dialog,67dc87e4c237,1,1,2,"That sounds good, what is the address?",Are their prices extravagant? How can I contact them.,"No, their prices are moderate. Their phone number is 510-834-2467.",,0.8726345896720886,0.4285717010498047,,
1_00016,GEM/schema_guided_dialog,67dc87e4c237,1,2,3,Thanks for your help.,"Okay, that sounds good. Can you reserve a table for me?",What time would you like it?,,0.8386432528495789,0.4083840250968933,,
1_00017,GEM/schema_guided_dialog,e2f5eae1a586,1,0,1,In the Bronx.,In Oakland.,"What type of cuisine? For example, Chinese, American, or something else?",,0.9344887733459473,0.4945351481437683,,
1_00017,GEM/schema_guided_dialog,e2f5eae1a586,1,1,2,Chinese food would be great.,I want pizza and pasta.,I found 8 places. A16 is a nice restaurant in Oakland.,,0.888009786605835,0.34219568967819214,,
1_00017,GEM/schema_guided_dialog,e2f5eae1a586,1,2,3,What's their address?,Do they have liquor?,"Yes, they do.",,0.8895269632339478,0.34555286169052124,,
1_00018,GEM/schema_guided_dialog,2a9b33a4d1a7,1,0,1,"In San Francisco, I'm looking for something to eat.",Asian Fusion in Concord.,Ozora Sushi is a restaurant in Concord.,,0.8728529810905457,0.3145139813423157,,
1_00018,GEM/schema_guided_dialog,2a9b33a4d1a7,1,1,2,What's their address and what's their price range.,"Yes, that is good.",Would you like to reserve a table?,,0.8406167030334473,0.34253478050231934,,
1_00018,GEM/schema_guided_dialog,2a9b33a4d1a7,1,2,3,"Yes, please.","Yes, any date works.",What time would you like?,,0.8768067359924316,0.4927669167518616,,
1_00019,GEM/schema_guided_dialog,c59cff148ae1,1,0,1,Is there any other place?,Is it an inexpensive restaurant?,It is a moderate priced place.,,0.8871604800224304,0.38262826204299927,,
1_00019,GEM/schema_guided_dialog,c59cff148ae1,1,1,2,What is the address?,What's their phone number?,It is 707-585-9069.,,0.9174177646636963,0.5333042144775391,,
1_00019,GEM/schema_guided_dialog,c59cff148ae1,1,2,3,Do they have live music?,Are there any other restaurants? Something like Ramen would be good. I want something that is not very costly.,1 restaurant named Kyoto fits that description. It's in Rohnert Park as well.,,0.8703718185424805,0.36130523681640625,,
1_00020,GEM/schema_guided_dialog,77045dc08cbc,1,0,1,A place that serves Mexican food would be great.,I would like something that I can pick-up in San Fran at any price range.,There is a restaurant called Golden Gate Indian Cuisine & Pizza that is located in San Francisco.,,0.8793803453445435,0.3124455213546753,,
1_00020,GEM/schema_guided_dialog,77045dc08cbc,1,1,2,Do they have live music?,Do they have music or entertainment? Can I have their phone number?,"Sorry, they do not have live music. Their phone number is 415-564-5514.",,0.9093782901763916,0.4772067666053772,,
1_00020,GEM/schema_guided_dialog,77045dc08cbc,1,2,3,That sounds good. I'll make a reservation.,I am on a budget so I would like something that is inexpensive but serves alcohol. Can you suggest another restaurant with these qualities?,I was able to locate 1 other nice restaurant called Hunan Empire Restaurant located in San Francisco.,,0.8559977412223816,0.4047331213951111,,
1_00021,GEM/schema_guided_dialog,3bff9f0ef685,1,0,1,I want a restaurant in San Francisco.,I prefer Redwood City.,Do you have a preference regarding the type of food?,,0.9150334000587463,0.38225531578063965,,
1_00021,GEM/schema_guided_dialog,3bff9f0ef685,1,1,2,Please find a restaurant that serves sushi.,"I would like Spanish food, economical pricing preferred.","Redwood City has 1 Spanish restaurant, Estampas Peruanas Restaurant.",,0.8768570423126221,0.32491129636764526,,
1_00021,GEM/schema_guided_dialog,3bff9f0ef685,1,2,3,What is their address?,That sounds good.,Shall i reserve a table?,,0.8529289364814758,0.29765546321868896,,
