dialogue_id,dataset,conversation_hash,seed_pairs,step_index,history_pairs_before_step,predicted_user,gold_user,gold_assistant,generated_assistant,user_bertscore_f1,user_bleurt,assistant_bertscore_f1,assistant_bleurt
1_00000,GEM/schema_guided_dialog,7fa2a9b3d811,1,0,1,"Yes, I would like it in San Mateo.",I would like for it to be in San Jose.,"Is there a specific cuisine type you enjoy, such as Mexican, Italian or something else?",,0.9364377856254578,0.6815049648284912,,
1_00000,GEM/schema_guided_dialog,7fa2a9b3d811,1,1,2,Some Sushi would be great.,I usually like eating the American type of food.,I see that at 71 Saint Peter there is a good restaurant which is in San Jose.,,0.8602913618087769,0.3539879322052002,,
1_00000,GEM/schema_guided_dialog,7fa2a9b3d811,1,2,3,That sounds good.,Can you give me the address of this restaurant.,If you want to go to this restaurant you can find it at 71 North San Pedro Street.,,0.8567155003547668,0.3637793958187103,,
1_00001,GEM/schema_guided_dialog,f5ec69bc8b50,1,0,1,"I want some Punjabi food, Search in San Mateo",Some Punjabi kind of foods in milpitas,"I found a good restaurant in Milpitas, The restaurant name is Anjappar Chettinad Restaurant",,0.9128892421722412,0.4982798099517822,,
1_00001,GEM/schema_guided_dialog,f5ec69bc8b50,1,1,2,"That sounds great, i want to reserve a table on March 12th","Ok, What is the address? How pricey are they?","Price range is moderate, The address is Milpitas Square",,0.8416465520858765,0.3387609124183655,,
1_00001,GEM/schema_guided_dialog,f5ec69bc8b50,1,2,3,"Yes that works for me, Please reserve the table","Ok, Find me another restaurant?","I found another restaurant for you, Aria Dining & Banquets Fine Indian Cuisine Restaurant at Milpitas",,0.8605396151542664,0.4910510778427124,,
1_00002,GEM/schema_guided_dialog,88742c1c4d42,1,0,1,I am looking in San Fran and I prefer Izakaya food.,Find me Ethiopian cuisine in Berkeley.,"Of the 4 Ethiopian restaurants in Berkeley, Addis Restaurant is a good one.",,0.8802592158317566,0.4239271283149719,,
1_00002,GEM/schema_guided_dialog,88742c1c4d42,1,1,2,What is their address and contact number?,Do they have live music?,I'm sorry. They do not have live music.,,0.8475531935691833,0.32636988162994385,,
1_00002,GEM/schema_guided_dialog,88742c1c4d42,1,2,3,Do you have any other suggestions?,That's okay. I'd like to reserve a table for the 4th.,At what time will you be arriving at the restaurant?,,0.8209259510040283,0.39769506454467773,,
1_00003,GEM/schema_guided_dialog,a87f6299da91,1,0,1,Something like Izakaya in San Mateo would be great.,Some Freshwater fish kind of food in Palo Alto would be perfect.,I found 4 restaurants. Odori Japanese Cuisine is a nice restaurant in Palo Alto.,,0.8951168656349182,0.41956156492233276,,
1_00003,GEM/schema_guided_dialog,a87f6299da91,1,1,2,Do they have live music?,Could you suggest any other restaurant?,P.f. Chang's is another nice restaurant in Palo Alto.,,0.8783642649650574,0.4159225821495056,,
1_00003,GEM/schema_guided_dialog,a87f6299da91,1,2,3,That sounds good.,"Yes, that works for me.",Would you like to reserve a table here?,,0.8858801126480103,0.583972692489624,,
1_00004,GEM/schema_guided_dialog,a4ccd76e75de,1,0,1,Some Izakaya food sounds good.,Lobster sounds great. Please search in San Mateo.,I have found 9 restaurants. Andes Cafe San Mateo is a great restaurant in San Mateo.,,0.8595208525657654,0.29010823369026184,,
1_00004,GEM/schema_guided_dialog,a4ccd76e75de,1,1,2,Do they serve liquor?,What's their phone number?,Their number is 650-581-1305.,,0.8797221183776855,0.3807373046875,,
1_00004,GEM/schema_guided_dialog,a4ccd76e75de,1,2,3,That's great.,Any other suggestions?,Fuji Sukiyaki is another great choice in San Mateo.,,0.8411510586738586,0.31350022554397583,,
1_00005,GEM/schema_guided_dialog,83a2fbb29206,1,0,1,Look in San Mateo.,I want to eat in San Bruno,"I have 3 restaurants, Cabalen is a nice one in San Bruno.",,0.8934437036514282,0.30726486444473267,,
1_00005,GEM/schema_guided_dialog,83a2fbb29206,1,1,2,That sounds good.,Any other suggestions?,What about Isla Restaurant in San Bruno?,,0.8407194018363953,0.3894959092140198,,
1_00005,GEM/schema_guided_dialog,83a2fbb29206,1,2,3,Do they serve alcohol? What's their number?,How cheap is it and how much does it cost?,It is moderate pricing and they are at 448 San Mateo Avenue,,0.8839535713195801,0.3161199688911438,,
1_00006,GEM/schema_guided_dialog,91e1eddf9993,1,0,1,I want something affordable in SFO.,I would like Freshwater fish.,Do you have a city?,,0.8948978185653687,0.3277229368686676,,
1_00006,GEM/schema_guided_dialog,91e1eddf9993,1,1,2,"Yes, I want something in SF.",The city is San Jose.,I have one in San Jose called Ariake.,,0.8693934082984924,0.4068260192871094,,
1_00006,GEM/schema_guided_dialog,91e1eddf9993,1,2,3,That sounds good.,Yes that is fine.,Would you like a reservation?,,0.8880948424339294,0.8038501143455505,,
1_00007,GEM/schema_guided_dialog,83a4d5fc4cfc,1,0,1,I want some Sushi in San Mateo.,My family and I are in San Jose and the perfect place would have pizza and pasta. We don't have a price preference.,San Jose has a restaurant called Al Castello Ristorante that is nice.,,0.8757965564727783,0.3187779188156128,,
1_00007,GEM/schema_guided_dialog,83a4d5fc4cfc,1,1,2,What is their address? Do they have live music?,Is there any other restaurant that you can suggest?,There is also a nice restaurant called Angelo's Italian Restaurant in San Jose.,,0.8520419597625732,0.37396669387817383,,
1_00007,GEM/schema_guided_dialog,83a4d5fc4cfc,1,2,3,That sounds good.,Can I please have the address and contact number?,408-227-5502 is their phone and it is located at 436 Blossom Hill Road.,,0.8310877084732056,0.32793760299682617,,
1_00008,GEM/schema_guided_dialog,92d5ff307c41,1,0,1,I am craving Pizza and Pasta kind of food.,I would like some Italian food.,Found 5 restaurants for you out of which De La Torre's Trattoria seems a great from Pleasanton.,,0.9150267243385315,0.5376276969909668,,
1_00008,GEM/schema_guided_dialog,92d5ff307c41,1,1,2,What is their contact number and address?,Can you provide the address and do they have live music?,"No, they do not have live music and its address is 6025 West Las Positas Boulevard.",,0.8659186363220215,0.46827441453933716,,
1_00008,GEM/schema_guided_dialog,92d5ff307c41,1,2,3,"Ok, that works for me.",Any other recommendation?,Forno Vecchio also seems nice and its located n Pleasanton as well.,,0.8174281120300293,0.41915661096572876,,
1_00009,GEM/schema_guided_dialog,2372cff61e2a,1,0,1,"Somewhere in SF, preferably some Middle Eastern food",I want some breakfast in Fairfield,I recommend Mimi's cafe in fairfield,,0.8604282736778259,0.36945945024490356,,
1_00009,GEM/schema_guided_dialog,2372cff61e2a,1,1,2,That sounds good,Do they have live music with liquor,They do not have live music but they do have alcohol,,0.8611384034156799,0.2148079127073288,,
1_00009,GEM/schema_guided_dialog,2372cff61e2a,1,2,3,Do they serve liquor?,ok that works,Do you want me to reserve a table for you,,0.842467725276947,0.25353044271469116,,
1_00010,GEM/schema_guided_dialog,f5db0d912619,1,0,1,What is the address of the restaurant?,Is there a band playing there?,"No, unfortunately, they don't offer live music.",,0.9050371050834656,0.3867564797401428,,
1_00010,GEM/schema_guided_dialog,f5db0d912619,1,1,2,That's alright. I'd like to make a reservation at the restaurant.,That's okay. It will work anyway.,Do you wish to make a reservation?,,0.8918845653533936,0.5321373343467712,,
1_00010,GEM/schema_guided_dialog,f5db0d912619,1,2,3,"Yes, please do.","Yes, I'll need to make a reservation for a table for 2.",What time will you be visiting?,,0.8723021745681763,0.4575194716453552,,
1_00011,GEM/schema_guided_dialog,1455092970ce,1,0,1,I want something in SFO.,"Cupertino, please.","What kind of food would you like? American, Indian, or something else?",,0.8712301850318909,0.3193751573562622,,
1_00011,GEM/schema_guided_dialog,1455092970ce,1,1,2,Something like Izakaya would be perfect.,Malaysian sounds good right now.,I've found 2 Malaysian restaurants in Cupertino. Merlion Restaurant & Bar is one.,,0.8698299527168274,0.32997971773147583,,
1_00011,GEM/schema_guided_dialog,1455092970ce,1,2,3,Do they have live music?,What's the other one?,Rasa Sayang is also is Cupertino.,,0.8796065449714661,0.28368663787841797,,
1_00012,GEM/schema_guided_dialog,e60d669eeef9,1,0,1,I am looking for something in SFO that serves Persian food.,I would prefer a restaurant which serves up Cambodian food in SF.,I have managed to find a nice restaurant called Anh Hong which is located in San Francisco.,,0.932545006275177,0.619318425655365,,
1_00012,GEM/schema_guided_dialog,e60d669eeef9,1,1,2,"That sounds good, I would like to make a reservation for 2 people.",Are there any alternative restaurants?,"Yes there is, Aux Delices is also a nice restaurant located in San Francisco.",,0.8377225399017334,0.3951994776725769,,
1_00012,GEM/schema_guided_dialog,e60d669eeef9,1,2,3,"Yes, that works for me.","Sure, that sounds great!",Would you like me to make a reservation?,,0.8968346118927002,0.6111012697219849,,
1_00013,GEM/schema_guided_dialog,48c6fbdc5699,1,0,1,"Yes, I am looking for some afforadable food in San Fran.",Asian kind of food will be good for me and please search it in Fremont City.,"Found 3 results, Asian pearl Seafood Restaurant is the best one in Fremont city, hope you like it.",,0.8684799671173096,0.5212093591690063,,
1_00013,GEM/schema_guided_dialog,48c6fbdc5699,1,1,2,Can you suggest any other restaurant?,"Yes, I like the same.",Shall I make a reservation at this restaurant?,,0.8424497246742249,0.3864853084087372,,
1_00013,GEM/schema_guided_dialog,48c6fbdc5699,1,2,3,"Sure, please do it.","Yes, make it at half past 1 in the afternoon that will be the perfect time to eat.",Please confirm to book a table for 2 persons in Asian Pearl Seafood REstaurant in Fremont at 1:30 pm on today.,,0.8677015900611877,0.4911664128303528,,
1_00014,GEM/schema_guided_dialog,5df8285683a8,1,0,1,A restaurant that serves alcohol would be perfect. I want something affordable.,Barbecue is the best.,I have 2 options. Cafe Eugene in Albany is a good choice.,,0.8917007446289062,0.4489455223083496,,
1_00014,GEM/schema_guided_dialog,5df8285683a8,1,1,2,Where is it located?,What is the other option?,Juanita & Maude in Albany is great.,,0.908010721206665,0.44582730531692505,,
